Type,Source,Target,Name,Time,Buffer
publish,XRTechMgr,N/A,TO_JEDI_MSG,2025-11-14 17:03:36.739.127,string=1cc:1:[03 00 00 00 00 00 00 00]
publish,XRTechMgr,N/A,FROM_JEDI_MSG,2025-11-14 17:03:36.741.810,string=208:8:[03 00 00 00 00 00 00 00]
receive,N/A,XRTechMgr,RTB0_EXP_ENABLE_HI,2025-11-14 17:03:36.947.731,string=ushort=0
receive_request,XRUserIfActor,XRAcqSync,exposeDeviceStatus,2025-11-14 17:03:36.948.363,{ulong=1;enum SwitchStatus=EXPOSE_ON;}
publish,XRTechMgr,N/A,TO_JEDI_MSG,2025-11-14 17:03:36.991.567,string=1e0:7:[32 96 a0 0f d0 07 00 00]
publish,XRTechMgr,N/A,FROM_JEDI_MSG,2025-11-14 17:03:36.994.635,string=1e1:8:[32 96 a0 0f d0 07 00 00]
publish,XRTechMgr,N/A,FROM_JEDI_MSG,2025-11-14 17:03:36.996.787,string=1e6:4:[04 00 00 00 00 00 00 00]
publish,XRTechMgr,N/A,TO_JEDI_MSG,2025-11-14 17:03:36.999.464,string=1cc:1:[03 00 00 00 00 00 00 00]
publish,XRTechMgr,N/A,TO_JEDI_MSG,2025-11-14 17:03:37.000.433,string=1cc:1:[07 00 00 00 00 00 00 00]
publish,XRTechMgr,N/A,FROM_JEDI_MSG,2025-11-14 17:03:37.942.238,string=208:8:[04 00 00 00 00 00 00 00]
receive,N/A,XRTechMgr,RTB1_EXP_CMD_HI,2025-11-14 17:03:37.980.573,string=ushort=0
publish,XRTechMgr,N/A,FROM_JEDI_MSG,2025-11-14 17:03:38.244.942,string=208:8:[05 00 00 00 00 00 00 00]
publish,XRTechMgr,N/A,FROM_JEDI_MSG,2025-11-14 17:03:38.245.312,string=2cf:8:[10 80 82 93 47 03 19 00]
receive,N/A,XRTechMgr,RTB2_XRAY_ON_HI,2025-11-14 17:03:38.275.203,string=ushort=0
publish,XRTechMgr,N/A,FROM_JEDI_MSG,2025-11-14 17:03:38.604.371,string=208:8:[04 00 00 00 00 00 00 00]
publish,XRTechMgr,N/A,FROM_JEDI_MSG,2025-11-14 17:03:38.604.656,string=2bc:8:[2c 01 a0 0f 20 03 00 00]
publish,XRTechMgr,N/A,FROM_JEDI_MSG,2025-11-14 17:03:38.605.525,string=2c1:8:[cc cc 4c 3e 00 00 a0 42]
receive,N/A,XRTechMgr,RTB2_XRAY_ON_LO,2025-11-14 17:03:38.610.387,string=ushort=0
publish,XRTechMgr,N/A,TO_JEDI_MSG,2025-11-14 17:03:38.852.796,string=2d0:8:[00 00 00 00 00 00 00 00]
publish,XRTechMgr,N/A,FROM_JEDI_MSG,2025-11-14 17:03:38.852.797,string=2d1:8:[00 78 00 78 00 00 00 00]
publish,XRTechMgr,N/A,FROM_JEDI_MSG,2025-11-14 17:03:38.853.257,string=2cf:8:[10 80 f2 aa 47 c8 16 00]
publish,XRTechMgr,N/A,TO_JEDI_MSG,2025-11-24 13:40:27.927.516,string=2ee:3:[01 00 00 00 00 00 00 00]
publish,XRTechMgr,N/A,FROM_JEDI_MSG,2025-11-24 13:40:27.927.517,string=2ef:8:[01 41 00 00 00 00 00 00]
publish,XRTechMgr,N/A,TO_JEDI_MSG,2025-11-24 13:40:27.927.685,string=20f:4:[06 02 01 03 00 00 00 00]
publish,XRTechMgr,N/A,FROM_JEDI_MSG,2025-11-24 13:40:27.945.349,string=20d:4:[06 02 03 03 00 00 00 00]
publish,XRTechMgr,N/A,FROM_JEDI_MSG,2025-11-24 13:40:27.950.171,string=2f8:1:[03 a4 02 00 00 00 00 00]
publish,XRTechMgr,N/A,TO_JEDI_MSG,2025-11-24 13:41:10.950.971,string=2f9:3:[03 01 15 00 00 00 00 00]
publish,XRTechMgr,N/A,TO_JEDI_MSG,2025-11-24 13:41:10.628.266,string=1f0:7:[05 00 05 00 0a 02 00 00]
publish,XRTechMgr,N/A,FROM_JEDI_MSG,2025-11-24 13:41:10.630.595,string=1f1:8:[05 00 05 00 0a 02 00 00]
publish,XRTechMgr,N/A,TO_JEDI_MSG,2025-11-24 13:40:28.046.901,string=460:1:[01 00 00 00 00 00 00 00]
publish,XRTechMgr,N/A,FROM_JEDI_MSG,2025-11-24 13:40:28.049.804,string=461:8:[01 31 30 30 30 30 30 31]
publish,XRTechMgr,N/A,TO_JEDI_MSG,2025-11-24 13:40:28.146.901,string=46a:8:[01 00 00 00 00 00 00 00]
publish,XRTechMgr,N/A,FROM_JEDI_MSG,2025-11-24 13:40:28.249.804,string=46b:8:[01 00 00 00 00 00 00 00]
publish,XRTechMgr,N/A,TO_JEDI_MSG,2025-11-24 13:40:28.306.901,string=46e:8:[03 07 00 00 00 00 00 00]
publish,XRTechMgr,N/A,FROM_JEDI_MSG,2025-11-24 13:42:28.309.804,string=46f:8:[03 07 00 00 00 00 00 00]
publish,XRTechMgr,N/A,TO_JEDI_MSG,2025-11-24 13:40:29.306.901,string=46e:8:[00 00 00 00 00 00 00 00]
publish,XRTechMgr,N/A,FROM_JEDI_MSG,2025-11-24 13:40:29.309.804,string=46f:8:[00 00 00 00 00 00 00 00]
"123344,"23344545","4566",56778"  56778"，56778"，56778"